2023-10-13 17:26:14 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:27:11 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:28:38 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:29:36 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:31:00 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:32:25 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:33:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.000.00/131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:36:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.86314./131023N*5ONEBP: [Invalid uncompressed location]
2023-10-13 17:37:30 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAR,KC5DJY-13:=0.6315.3/131023N*6ONEBP: [Invalid uncompressed location]
2023-10-14 09:03:56 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=00<0x00><0x00><0x00><0x00><0x00><0x00>/MM<0x00><0x00><0x00><0x00><0x00><0x00><0x00>ONEBP-WV,,,alt=,0 [Invalid uncompressed location]
2023-10-14 09:04:50 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,06,1.61,alt=893.3M,2
2023-10-14 09:05:17 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,07,1.38,alt=899.5M,3
2023-10-14 09:05:43 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,08,1.36,alt=899.6M,4
2023-10-14 09:06:10 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,09,1.04,alt=901.2M,5
2023-10-14 09:06:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,10,1.01,alt=902.6M,6
2023-10-14 09:07:04 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,10,1.01,alt=902.6M,7
2023-10-14 09:07:31 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,10,1.01,alt=903.2M,8
2023-10-14 09:07:57 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,10,1.01,alt=902.8M,9
2023-10-14 09:08:23 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,10,1.01,alt=903.1M,10
