T(h:m:s),FT(h:m:s),T(Sec),T(ms),UF(Hz),Sats,Date,Time,Lat,Lon,Alt(Ft),Alt(M),GndSpd(M/S),Head(Deg),PDOP,intT(C),intT(F),extT(C),extT(F),msTemp(C),msTemp(F),msPress(PSI),msPress(ATM),msAlt(ft),msAlt(M),VertVel(Ft/S),VertVel(M/S),mag x,mag y,mag z,accel x,accel y,accel z,gyro x,gyro y,gyro z,orien yaw,orien pitch,orien roll,xbee message
No Data
0:00:20,NA:NA:NA,20.1,20074,0.0,0,8/2/2020,-5:0:21,0.000000,0.000000,0.02,0.01,0.000,0.00,9999,16.88,62.38,13.61,56.50,16.56,61.81,13.41,0.91,2548.22,776.70,0.58,0.18,44.56,43.06,-27.06,0.38,-0.13,9.27,0.00,-0.00,0.00,0.00,0.00,2.44,
0:00:21,NA:NA:NA,21.9,21865,0.6,0,8/2/2020,-5:0:22,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.83,62.30,13.55,56.38,16.54,61.77,13.41,0.91,2546.75,776.25,-0.82,-0.25,44.56,43.38,-27.50,0.33,-0.08,9.27,0.00,-0.00,0.00,0.00,0.00,2.44,
0:00:22,NA:NA:NA,22.9,22865,1.0,0,8/2/2020,-5:0:23,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.86,62.34,13.61,56.50,16.53,61.75,13.41,0.91,2545.86,775.98,-0.89,-0.27,43.75,42.25,-27.06,0.34,-0.10,9.27,-0.00,-0.00,-0.00,0.00,0.00,2.44,
0:00:23,NA:NA:NA,23.9,23865,1.0,0,8/2/2020,-5:0:24,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.77,62.18,13.70,56.66,16.52,61.74,13.41,0.91,2545.27,775.80,-0.59,-0.18,44.56,42.69,-26.38,0.30,-0.13,9.30,-0.00,0.00,0.00,0.00,0.00,2.44,
0:00:24,NA:NA:NA,24.9,24865,1.0,0,8/2/2020,-5:0:25,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.75,62.14,13.97,57.14,16.52,61.74,13.41,0.91,2544.68,775.62,-0.59,-0.18,44.88,43.06,-27.06,0.32,-0.12,9.28,0.00,0.00,-0.00,0.00,0.00,2.44,
0:00:25,NA:NA:NA,25.9,25865,1.0,0,8/2/2020,-5:0:26,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.77,62.18,13.88,56.98,16.52,61.74,13.41,0.91,2545.57,775.89,0.88,0.27,44.56,42.25,-26.75,0.33,-0.11,9.29,0.00,0.00,0.00,0.00,0.00,2.44,
0:00:26,NA:NA:NA,26.9,26865,1.0,0,8/2/2020,-5:0:27,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.72,62.10,13.99,57.18,16.51,61.72,13.41,0.91,2544.68,775.62,-0.88,-0.27,44.19,44.88,-27.06,0.31,-0.11,9.30,-0.00,-0.00,0.00,0.00,0.00,2.44,
0:00:27,NA:NA:NA,27.9,27865,1.0,0,8/2/2020,-5:0:28,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.61,61.91,14.01,57.22,16.48,61.66,13.41,0.91,2544.68,775.62,0.00,0.00,45.25,44.88,-27.50,0.32,-0.11,9.30,0.00,-0.00,-0.00,0.00,0.00,2.50,
0:00:28,NA:NA:NA,28.9,28865,1.0,0,8/2/2020,-5:0:29,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.53,61.75,13.95,57.10,16.44,61.59,13.41,0.91,2545.57,775.89,0.88,0.27,44.88,45.25,-27.06,0.33,-0.11,9.28,0.00,0.00,0.00,0.00,0.00,2.50,
0:00:29,NA:NA:NA,29.9,29865,1.0,0,8/2/2020,-5:0:30,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.37,61.47,14.01,57.22,16.42,61.56,13.41,0.91,2545.86,775.98,0.29,0.09,46.06,44.88,-26.75,0.31,-0.13,9.30,0.00,0.00,0.00,0.00,0.00,2.50,
0:00:30,NA:NA:NA,30.9,30865,1.0,0,8/2/2020,-5:0:31,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.31,61.35,14.12,57.42,16.40,61.52,13.41,0.91,2544.68,775.62,-1.18,-0.36,45.25,45.25,-26.75,0.31,-0.12,9.27,-0.00,0.00,0.00,0.00,0.00,2.50,
0:00:31,NA:NA:NA,31.9,31865,1.0,0,8/2/2020,-5:0:32,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.29,61.31,13.97,57.14,16.33,61.39,13.41,0.91,2544.98,775.71,0.30,0.09,44.56,45.56,-27.06,0.30,-0.14,9.26,-0.00,0.00,0.00,0.00,0.00,2.50,
0:00:32,NA:NA:NA,32.9,32865,1.0,0,8/2/2020,-5:0:33,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.22,61.20,14.01,57.22,16.26,61.27,13.41,0.91,2546.16,776.07,1.18,0.36,45.25,45.25,-25.25,0.33,-0.15,9.31,0.00,-0.00,0.00,0.00,0.00,2.50,
0:00:33,NA:NA:NA,33.9,33865,1.0,0,8/2/2020,-5:0:34,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.18,61.12,14.04,57.26,16.21,61.18,13.41,0.91,2544.68,775.62,-1.47,-0.45,46.06,44.50,-26.69,0.27,-0.15,9.28,-0.00,-0.00,0.00,0.00,0.00,2.50,
0:00:34,NA:NA:NA,34.9,34865,1.0,0,8/2/2020,-5:0:35,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,16.15,61.08,13.92,57.06,16.17,61.11,13.41,0.91,2544.39,775.53,-0.29,-0.09,45.25,45.56,-25.88,0.30,-0.11,9.16,-0.00,0.00,0.00,0.00,0.00,2.44,
0:00:35,NA:NA:NA,35.9,35865,1.0,0,8/2/2020,-5:0:36,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,15.91,60.64,13.86,56.94,16.12,61.02,13.41,0.91,2543.80,775.35,-0.59,-0.18,44.88,44.88,-25.19,0.24,-0.16,9.27,-0.00,0.01,0.00,0.00,0.38,2.19,
0:00:36,NA:NA:NA,36.9,36865,1.0,0,8/2/2020,-5:0:37,0.000000,0.000000,0.00,0.00,0.000,0.00,9999,15.76,60.36,13.84,56.90,16.09,60.96,13.41,0.91,2545.27,775.80,1.47,0.45,44.56,45.25,-26.25,0.32,-0.21,9.26,-0.00,-0.00,0.00,0.00,0.38,2.19,
