time,lasttime,lat,lng,speed,course,altitude,comment
2023-10-01 15:50:57,2023-10-01 15:51:36,39.09433,-80.46917,,,,"NEBP WV:  alt="
2023-10-01 15:52:14,2023-10-01 15:52:14,39.09417,-80.46917,2,,,"NEBP WV:2 10 0.82 alt=305.6M"
2023-10-01 16:23:41,2023-10-01 17:04:58,39.09433,-80.46917,,,,"NEBP WV:2 07 1.66 alt=312.6M"
2023-10-01 17:05:37,2023-10-01 17:05:37,39.09333,-80.46917,10,,,"NEBP WV:2 07 1.27 alt=474.1M"
2023-10-01 17:06:15,2023-10-01 17:06:15,39.09267,-80.46967,8,,,"NEBP WV:2 08 1.21 alt=653.2M"
2023-10-01 17:06:55,2023-10-01 17:06:55,39.09167,-80.47050,12,,,"NEBP WV:2 08 1.21 alt=844.6M"
2023-10-01 17:07:34,2023-10-01 17:07:34,39.09083,-80.47133,11,,,"NEBP WV:2 08 1.20 alt=1071.5M"
2023-10-01 17:08:14,2023-10-01 17:08:14,39.09017,-80.47267,12,,,"NEBP WV:2 08 1.20 alt=1304.2M"
2023-10-01 17:08:53,2023-10-01 17:08:53,39.08833,-80.47600,33,,,"NEBP WV:2 07 1.26 alt=1520.4M"
2023-10-01 17:09:33,2023-10-01 17:09:33,39.08600,-80.47933,35,,,"NEBP WV:2 08 1.20 alt=1740.9M"
2023-10-01 17:10:12,2023-10-01 17:10:12,39.08317,-80.48233,38,,,"NEBP WV:2 07 1.25 alt=1965.5M"
2023-10-01 17:10:52,2023-10-01 17:10:52,39.08000,-80.48517,39,,,"NEBP WV:2 07 1.25 alt=2202.4M"
2023-10-01 17:11:31,2023-10-01 17:11:31,39.07717,-80.48850,39,,,"NEBP WV:2 07 1.25 alt=2441.7M"
2023-10-01 17:12:11,2023-10-01 17:12:11,39.07483,-80.49183,35,,,"NEBP WV:2 07 1.25 alt=2681.3M"
2023-10-01 17:13:28,2023-10-01 17:13:28,39.07100,-80.49717,29,,,"NEBP WV:2 07 1.24 alt=3118.9M"
2023-10-01 17:14:03,2023-10-01 17:14:03,39.06933,-80.49983,30,,,"NEBP WV:2 07 1.24 alt=3313.1M"
2023-10-01 17:15:14,2023-10-01 17:15:14,39.06633,-80.50500,28,,,"NEBP WV:2 08 1.14 alt=3721.3M"
2023-10-01 17:15:49,2023-10-01 17:15:49,39.06467,-80.50683,25,,,"NEBP WV:2 08 1.14 alt=3930.1M"
2023-10-01 17:16:59,2023-10-01 17:16:59,39.06117,-80.50933,23,,,"NEBP WV:2 08 1.13 alt=4345.4M"
2023-10-01 17:19:19,2023-10-01 17:19:19,39.05217,-80.51133,26,,,"NEBP WV:1 08 1.12 alt=5172.0M"
2023-10-01 17:19:54,2023-10-01 17:19:54,39.04983,-80.51067,27,,,"NEBP WV:1 09 0.95 alt=5394.4M"
2023-10-01 17:20:06,2023-10-01 17:20:06,39.05433,-80.51150,152,,,"NEBP WV:1 08 1.12 alt=4965.2M"
2023-10-01 17:20:29,2023-10-01 17:21:42,39.04733,-80.51050,,,,"NEBP WV:1 09 0.95 alt=5606.3M"
2023-10-01 17:21:55,2023-10-01 17:21:55,39.04517,-80.50983,68,,,"NEBP WV:1 09 0.95 alt=5825.7M"
2023-10-01 17:22:15,2023-10-01 17:22:15,39.04050,-80.50833,96,,,"NEBP WV:1 09 0.95 alt=6246.8M"
2023-10-01 17:22:49,2023-10-01 17:22:49,39.05650,-80.51100,190,,,"NEBP WV:2 08 1.13 alt=4758.2M"
2023-10-01 17:24:01,2023-10-01 17:24:01,39.03467,-80.50667,123,,,"NEBP WV:1 08 1.08 alt=6916.7M"
2023-10-01 17:24:25,2023-10-01 17:24:25,39.03650,-80.50700,31,,,"NEBP WV:1 07 1.29 alt=6694.3M"
2023-10-01 17:24:36,2023-10-01 17:24:36,39.03300,-80.50533,136,,,"NEBP WV:1 07 1.20 alt=7139.3M"
2023-10-01 17:26:21,2023-10-01 17:26:21,39.03083,-80.50100,15,,,"NEBP WV:1 08 1.08 alt=7801.2M"
2023-10-01 17:27:31,2023-10-01 17:27:31,39.03400,-80.49900,20,,,"NEBP WV:1 10 0.79 alt=8263.3M"
2023-10-01 17:28:06,2023-10-01 17:28:57,39.03600,-80.49933,,,,"NEBP WV:1 10 0.79 alt=8484.7M"
2023-10-01 17:30:27,2023-10-01 17:30:27,39.04333,-80.50217,34,,,"NEBP WV:1 10 0.79 alt=9341.7M"
2023-10-01 17:31:38,2023-10-01 17:32:13,39.04550,-80.50683,,,,"NEBP WV:1 10 0.79 alt=9805.9M"
2023-10-01 17:32:49,2023-10-01 17:32:49,39.04667,-80.50933,25,,,"NEBP WV:1 09 0.89 alt=10276.5M"
2023-10-01 17:33:24,2023-10-01 17:33:24,39.04733,-80.50950,8,,,"NEBP WV:1 10 0.79 alt=10514.6M"
2023-10-01 17:33:59,2023-10-01 17:36:35,39.04833,-80.50933,,,,"NEBP WV:1 10 0.83 alt=10721.6M"
2023-10-01 17:36:54,2023-10-01 17:36:54,39.05433,-80.51267,138,,,"NEBP WV:1 07 1.05 alt=11799.3M"
2023-10-01 17:38:06,2023-10-01 17:38:06,39.05617,-80.51517,15,,,"NEBP WV:  alt="
2023-10-01 17:38:15,2023-10-01 17:38:15,39.05233,-80.51083,227,,,"NEBP WV:1 08 0.91 alt=11564.1M"
