"uid","datetime","latitude","longitude","altitude","vertical_velocity","ground_speed","satellites"
"5689066708778500","2023-10-01T14:42:31Z",39.0945166666667,-80.4699,315.68,0.01,0.648,6
"5689066708778500","2023-10-01T14:42:42Z",39.0945166666667,-80.4699333333333,315.42,0.36,1.584,6
"5689066708778500","2023-10-01T14:42:50Z",39.0945166666667,-80.4699333333333,317.13,-0.23,0.468,6
"5689066708778500","2023-10-01T14:43:00Z",39.0945166666667,-80.4699333333333,315.78,0.55,0.432,7
"5689066708778500","2023-10-01T14:43:17Z",39.0945166666667,-80.4699333333333,311.11,0.29,0.324,7
"5689066708778500","2023-10-01T14:43:25Z",39.0945166666667,-80.46995,310.67,0.37,0.324,7
"5689066708778500","2023-10-01T14:43:38Z",39.0945166666667,-80.46995,311.3,-0.21,0.864,7
"5689066708778500","2023-10-01T14:43:49Z",39.0945166666667,-80.46995,311.16,-0.07,0.216,7
"5689066708778500","2023-10-01T14:44:03Z",39.0945,-80.46995,310.11,-0.28,0.54,7
"5689066708778500","2023-10-01T14:44:16Z",39.0945,-80.4699333333333,308.04,-0.27,0.216,7
"5689066708778500","2023-10-01T14:44:27Z",39.0945166666667,-80.4699333333333,305.9,0.14,0.36,7
"5689066708778500","2023-10-01T14:44:36Z",39.0945166666667,-80.4699333333333,305.03,-0.16,0.684,7
"5689066708778500","2023-10-01T14:44:44Z",39.0945166666667,-80.4699333333333,304.73,0.3,0.036,7
"5689066708778500","2023-10-01T14:45:20Z",39.0945,-80.4699333333333,315.34,0.5,0.612,7
"5689066708778500","2023-10-01T14:45:26Z",39.0945,-80.4699333333333,314.23,-0.29,0.18,7
"5689066708778500","2023-10-01T14:45:35Z",39.0945166666667,-80.4699333333333,310.48,-0.2,0.612,7
"5689066708778500","2023-10-01T14:45:45Z",39.0945166666667,-80.4699333333333,307.29,-0.21,0.432,7
"5689066708778500","2023-10-01T14:45:58Z",39.0945166666667,-80.4699333333333,304.42,0.08,0.432,7
"5689066708778500","2023-10-01T14:46:21Z",39.0945166666667,-80.4699,304.9,0.04,0.18,6
"5689066708778500","2023-10-01T14:47:18Z",39.0945166666667,-80.46995,303.25,0.07,0.36,7
"5689066708778500","2023-10-01T14:47:26Z",39.0945166666667,-80.46995,304.22,0.21,0.288,7
"5689066708778500","2023-10-01T14:47:36Z",39.0945166666667,-80.46995,302.21,-0.25,0.18,7
"5689066708778500","2023-10-01T14:47:46Z",39.0945333333333,-80.46995,300.9,0.18,0.288,6
"5689066708778500","2023-10-01T14:48:16Z",39.09455,-80.4699333333333,297.79,-0.36,0.432,7
"5689066708778500","2023-10-01T14:48:21Z",39.09455,-80.4699333333333,297.89,-0.16,0.18,7
"5689066708778500","2023-10-01T14:48:29Z",39.09455,-80.4699333333333,299.67,-0.04,0.144,7
"5689066708778500","2023-10-01T14:48:38Z",39.0945333333333,-80.4699333333333,303.37,-0.38,0.144,6
"5689066708778500","2023-10-01T14:48:47Z",39.0945333333333,-80.4699333333333,304.71,-0.22,0.324,6
"5689066708778500","2023-10-01T14:48:54Z",39.09455,-80.4699333333333,301.61,0.2,0.468,7
"5689066708778500","2023-10-01T14:49:03Z",39.0945666666667,-80.4699166666667,299.16,0.06,0.144,7
"5689066708778500","2023-10-01T14:49:38Z",39.0945333333333,-80.4699166666667,306.53,0.22,0.144,7
"5689066708778500","2023-10-01T14:49:52Z",39.0945,-80.4699166666667,310.36,0.21,0.504,7
"5689066708778500","2023-10-01T14:50:40Z",39.0944666666667,-80.4699666666667,311.87,-0.43,0.684,8
"5689066708778500","2023-10-01T14:50:46Z",39.0944666666667,-80.4699666666667,312.81,-0.09,0.18,8
"5689066708778500","2023-10-01T14:50:54Z",39.0944666666667,-80.4699666666667,314.77,-0.26,0.288,8
"5689066708778500","2023-10-01T14:51:03Z",39.0944666666667,-80.4699666666667,314.11,-0.33,0.684,8
"5689066708778500","2023-10-01T14:51:34Z",39.0944666666667,-80.46995,317.06,-0.08,0.072,8
"5689066708778500","2023-10-01T14:52:05Z",39.0944833333333,-80.4699333333333,309.67,-0.14,0.432,8
"5689066708778500","2023-10-01T14:52:28Z",39.0945,-80.46995,309.07,0.11,0.324,8
"5689066708778500","2023-10-01T14:53:36Z",39.0944833333333,-80.46995,315.3,0.29,0.288,8
"5689066708778500","2023-10-01T14:53:50Z",39.0944833333333,-80.4699333333333,317.17,0.16,0.252,8
